Suite,Benchmark,Compile Units Base,Compile Units ASAN--,Fallback Units Base,Fallback Units ASAN--,Original Checks,ASAN-- Checks,Removed Checks,Removed / Original,Original Core Checks,ASAN-- Core Checks,Core / All Original,Removed Read Checks,Removed Store Checks,Runtime Native,Runtime ASan,Runtime ASAN--,Sanitizer Overhead %,ASAN-- Overhead %,Overhead Reduction %,Runtime Reduction vs ASan %,Native Status,ASan Status,ASAN-- Status
OpenSource,bzip2,8,8,0,0,4574,3559,1015,22.190642763445563,4455,3440,97.39833843463052,419,596,0.314393,0.5650316666666666,0.5320233333333333,79.72145266168987,69.22238514640381,13.16968916740699,5.841855471227272,S,S,S
OpenSource,capstone,101,101,0,0,19192,16205,2987,15.563776573572321,18417,15430,95.96185910796166,2100,887,0.11409,0.11410866666666666,0.11413533333333332,0.01636135214888845,0.03973471236158102,-142.857142857111,-0.023369536640507255,S,S,S
OpenSource,coreutils,734,734,105,105,11302,7481,3821,33.808175544151474,9523,5702,84.25942311095382,2916,905,0.114122,0.164235,0.16426533333333335,43.911778622877264,43.93835836502458,-0.060529869162401814,-0.01846946956090627,S,S,S
OpenSource,curl,382,382,3,3,27826,22093,5733,20.603033134478547,25735,20002,92.48544526701646,3529,2204,0.11415866666666667,0.16420566666666667,0.16411433333333333,43.839860311379475,43.75985470514722,0.1824951212526868,0.055621304177484024,S,S,S
OpenSource,duktape,6,6,0,0,11211,9148,2063,18.401569886718402,10119,8056,90.25956649719026,863,1200,0.548687,1.0830849999999999,1.0161116666666665,97.39578302383687,85.18967401572598,12.532482032742143,6.183571310962051,S,S,S
OpenSource,flac,81,81,1,1,24395,16800,7595,31.133428981348636,21583,13988,88.47304775568765,4564,3031,0.11415633333333333,0.11402833333333333,0.11487333333333333,-0.11212693703663962,0.6280860457442823,660.1562499999827,-0.7410438925997912,S,S,S
OpenSource,grep,371,371,3,3,7889,6162,1727,21.891240968437064,6644,4917,84.21853213335024,1123,604,0.13128666666666666,0.198362,0.198278,51.090742903569804,51.02676077794142,0.12523232584258603,0.0423468204595642,S,S,S
OpenSource,gzip,220,220,33,33,4007,1956,2051,51.185425505365615,3525,1474,87.97105066134266,1387,664,0.16462766666666667,0.23097633333333334,0.215058,40.30225782219675,30.632963677632148,23.99194156124716,6.891759473192782,S,S,S
OpenSource,imagemagick,378,378,30,30,127023,91172,35851,28.22402242113633,118535,82684,93.31774560512663,27078,8773,0.11412766666666667,0.21474666666666667,0.21442466666666665,88.16354783969999,87.88140766334776,0.32001908188316,0.1499441202036586,S,S,S
OpenSource,libpng,52,52,0,0,8423,7441,982,11.658553959396889,7761,6779,92.14056749376707,446,536,0.13092900000000002,0.19825266666666666,0.215235,51.41998080384531,64.39062392594458,-25.22490852647166,-8.566004996990381,S,S,S
OpenSource,libvpx,222,222,4,4,48274,40645,7629,15.80353813647098,45627,37998,94.51671707337283,4150,3479,0.11413233333333334,0.11419533333333333,0.114025,0.05519908176765008,-0.09404288004859938,270.37037037038914,0.14915962707173783,S,S,S
OpenSource,lz4,5,5,0,0,2186,993,1193,54.574565416285445,1963,770,89.79871912168343,1073,120,0.11425033333333333,0.16451133333333334,0.16439966666666667,43.99199418820078,43.89425559662846,0.22217358720812663,0.06787779565339565,S,S,S
OpenSource,make,116,116,1,1,8526,5949,2577,30.22519352568614,7766,5189,91.0860896082571,1763,814,0.11407833333333334,0.11423533333333333,0.114046,0.13762473154410607,-0.0283430975791569,120.59447983015575,0.16573973026442465,S,S,S
OpenSource,openssl,1119,1119,0,0,110723,82399,28324,25.580954273276557,100751,72427,90.99374113779432,19175,9149,0.164802,0.26456266666666667,0.2650766666666667,60.53365048158801,60.84553990040574,-0.5152331246115849,-0.19428289201802765,S,S,S
OpenSource,redis,149,149,0,0,53333,38488,14845,27.834548965931038,49520,34675,92.85058031612698,10350,4495,0.13101533333333334,0.164342,0.14769833333333332,25.437226177088668,12.733624054181933,49.94098819763957,10.12745778113122,S,S,S
OpenSource,tar,453,453,51,51,15719,10112,5607,35.67020802850054,13918,8311,88.54252815064572,4098,1509,0.114194,0.13124,0.13136766666666666,14.927229101353829,15.039027152623305,-0.7489538112558071,-0.09727725287005853,S,S,S
OpenSource,xz,230,230,7,7,9597,6681,2916,30.38449515473586,8585,5669,89.45503803271856,1946,970,1.233175,2.669678333333333,2.7370243333333333,116.4881978091782,121.94938539407087,-4.688189608563396,-2.5226260092508075,S,S,S
OpenSource,zlib,26,26,0,0,4513,3863,650,14.402836250830934,4337,3687,96.10015510746732,172,478,0.16429866666666668,0.23141333333333333,0.21540533333333334,40.84918522365772,31.105953385704076,23.851716465352823,6.917492509794881,S,S,S
OpenSource,zopfli,13,13,0,0,1659,1438,221,13.321277878239904,1492,1271,89.93369499698613,122,99,0.36517700000000003,0.7156006666666667,0.715556,95.95995001510681,95.94771850362972,0.012746475456859222,0.006241842517385325,S,S,S
OpenSource,zstd,43,43,0,0,37117,27735,9382,25.27682732979497,34801,25419,93.76027157367244,5987,3395,0.11412466666666667,0.21466566666666667,0.181028,88.09751908731388,58.62302628120125,33.45666610304917,15.669793492826834,S,S,S
