Suite,Benchmark,Compile Units Base,Compile Units ASAN--,Fallback Units Base,Fallback Units ASAN--,Original Checks,ASAN-- Checks,Removed Checks,Removed / Original,Original Core Checks,ASAN-- Core Checks,Core / All Original,Removed Read Checks,Removed Store Checks,Runtime Native,Runtime ASan,Runtime ASAN--,Sanitizer Overhead %,ASAN-- Overhead %,Overhead Reduction %,Runtime Reduction vs ASan %,Native Status,ASan Status,ASAN-- Status
CPU2006,400.perlbench,51,51,0,0,71604,47442,24162,33.74392492039551,70563,46401,98.54617060499413,16043,8119,3.609199,8.221882,7.435203,127.8035098646542,106.00701152804264,17.05469463216963,9.568113480587549,S,S,S
CPU2006,401.bzip2,9,9,0,0,4148,3435,713,17.189006750241077,4060,3347,97.87849566055931,178,535,8.180658,16.68803,14.834963,103.99373742307773,81.34192872993836,21.781896924220558,11.104168676590351,S,S,S
CPU2006,403.gcc,155,155,0,0,162296,115984,46312,28.535515354660618,158608,112296,97.7276088135259,35987,10325,1.145397,2.745456,2.582986,139.69470847225895,125.5101069760092,10.15400057122893,5.917778321706846,S,S,S
CPU2006,410.bwaves,0,0,0,0,0,0,0,,0,0,,0,0,10.935482,16.294408,16.287239,49.00493640792423,48.939379169569285,0.1337768052777943,0.04399668892543436,S,S,S
CPU2006,416.gamess,0,0,0,0,0,0,0,,0,0,,0,0,0.497539,0.947743,0.938541,90.48617294322656,88.63666968820534,2.043962292649564,0.970938323997122,S,S,S
CPU2006,429.mcf,11,11,0,0,715,625,90,12.587412587412588,675,585,94.4055944055944,54,36,2.727328,3.69857,3.732144,35.61148494057188,36.84250665853172,-3.4568109698715426,-0.9077562409255406,S,S,S
CPU2006,433.milc,68,68,0,0,4664,2650,2014,43.18181818181818,4289,2275,91.95969125214408,1735,279,11.285275,18.856531,17.982279,67.08968988349862,59.342851636313675,11.546987712474682,4.636335283515308,S,S,S
CPU2006,434.zeusmp,0,0,0,0,0,0,0,,0,0,,0,0,16.300349,29.800684,29.602953,82.82236779102091,81.60932014400427,1.4646377293600565,0.6635116160421048,S,S,S
CPU2006,435.gromacs,124,124,0,0,25402,19708,5694,22.41555783009212,24337,18643,95.80741673883946,4226,1468,0.908068,1.580559,1.518168,74.05733931820085,67.1865983604752,9.277596280098928,3.9474008879137115,S,S,S
CPU2006,436.cactusADM,265,265,0,0,34928,19995,14933,42.75366468163078,33263,18330,95.23305084745762,8823,6110,2.402774,3.853189,3.831561,60.36418739340446,59.464061122685706,1.4911594267847312,0.561301301337665,S,S,S
CPU2006,437.leslie3d,0,0,0,0,0,0,0,,0,0,,0,0,21.771708,31.556178,32.348355,44.94121453401818,48.579776102086235,-8.096268883240471,-2.5103705524794506,S,S,S
CPU2006,444.namd,11,11,0,0,11032,7985,3047,27.61965192168238,10821,7774,98.08738216098622,1295,1752,16.635122,25.29924,22.395997,52.08328499183836,34.63079501310542,33.508811860595614,11.475613496690018,S,S,S
