Result Group,Suite,Benchmark,Sanitizer,Compile Units,Fallback Units,Original Checks,Core Checks,Core / All,Removed Checks,Removed / All,Removed / Core,Runtime Native,Runtime Before,Runtime After,Sanitizer Overhead %,DESAN Overhead %,Overhead Reduction %,Native Status,Before Status,After Status,Source Summary
spec-cpu2006,CPU2006,401.bzip2,asan,9,0,3454,3427,99.21829762594095,2304,66.70526925303996,67.23081412313977,21.120186,36.138805,30.9895,71.11025916154335,46.72929490298996,34.28614175511077,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,401.bzip2,ubsan,9,0,9457,8335,88.1357724436925,4193,44.337527757216876,50.30593881223755,11.514099,70.632862,52.859754,513.4467143282336,359.08719388290825,30.063396285879662,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,401.bzip2,msan,9,0,5199,5199,100.0,4728,90.94056549336412,90.94056549336412,11.514099,128.122997,72.408826,1012.7487873779788,528.870969408896,47.778661796460845,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,403.gcc,asan,155,1,117057,115094,98.32303920312326,88590,75.68107844896076,76.97186647436008,1.617438,3.298537,2.896601,103.93591593619045,79.08575166405143,23.909121354542478,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,403.gcc,ubsan,155,1,283964,270169,95.14198982969673,197839,69.67045118395289,73.22786848232032,4.537526,4.573434,2.713339,0.7913563470490319,-40.20223795962822,5180.168764620689,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,429.mcf,asan,11,0,598,595,99.49832775919732,272,45.48494983277592,45.714285714285715,3.377451,5.364436,4.151495,58.83090531883365,22.91799348088246,61.044295754623235,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,429.mcf,ubsan,11,0,1483,1297,87.45785569790965,590,39.78422117329737,45.48959136468774,4.273844,8.110351,5.677439,89.76712767241852,32.84151223114365,63.414767651929225,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,429.mcf,msan,11,0,858,858,100.0,715,83.33333333333334,83.33333333333334,4.273844,9.878221,8.470267,131.13199733074018,98.18849260759164,25.12239986710388,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,433.milc,asan,68,0,3375,3290,97.48148148148148,2194,65.0074074074074,66.68693009118542,20.227162,53.761863,39.209957,165.7904405966591,93.84803958162793,43.393576104942746,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,433.milc,ubsan,68,0,11407,10148,88.96291750679407,5835,51.152800911720874,57.499014584154516,30.252761,175.872481,73.396536,481.34357059178836,142.61103308884765,70.37229916387697,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
