Suite,Benchmark,SanRazor Level,Original Checks,SanRazor Checks,Removed Checks,Removed / Original,Original Check Cost,SanRazor Check Cost,Removed Check Cost,Check Cost Reduction %,Runtime Native,Runtime UBSan,Runtime SanRazor,Sanitizer Overhead %,SanRazor Overhead %,Overhead Reduction %,Runtime Reduction vs UBSan %,Native Status,UBSan Status,SanRazor Status
CPU2006,401.bzip2,L0,8673,4056,4617,53.23417502594258,15032502892499443416,6491317634382561324,8541185258116882092,56.81811817497508,3.203547,8.881997,8.526677,177.25508631526245,166.16363050081674,6.257341351953451,4.000451700220128,S,S,S
CPU2006,429.mcf,L0,1421,873,548,38.56439127375088,987536296545053082,506803448516673384,480732848028379698,48.68001811277707,1.489628,2.788131,2.771241,87.1696155013198,86.03577537479156,1.3007286082511993,0.605782152990662,S,S,S
CPU2006,433.milc,L0,9419,4330,5089,54.029090136957215,4719675307394496106,1919739353466500833,2799935953927995273,59.32475798793252,2.932318,18.152538,10.547347,519.0507987196477,259.69315060644857,49.96768115046957,41.896020270003014,S,S,S
CPU2006,444.namd,L0,19520,14081,5439,27.863729508196723,13543648614998423961,9073871238925129581,4469777376073294380,33.00275651808776,5.643437,15.220416,12.995201,169.7011767828719,130.2710387304758,23.23504102911785,14.619935486651617,S,S,S
CPU2006,445.gobmk,L0,57214,43718,13496,23.588632152969552,147601667797970358344,134826941260620686686,12774726537349671658,8.654865983516572,9.537141,24.839288,17.201765,160.44794766062492,80.36605519410904,49.91144706687237,30.747753317244836,S,S,S
CPU2006,453.povray,L0,65505,33108,32397,49.457293336386535,47340607616888137970,21876812482971112135,25463795133917025835,53.78848395860714,0.258805,0.876832,0.796816,238.80025501825693,207.8827688800448,12.947007169589678,9.125579358417573,S,S,S
CPU2006,456.hmmer,L0,28940,11894,17046,58.901174844505874,22173299347423279962,7656009090363936693,14517290257059343269,65.47194456537372,1.334685,9.623915,7.838434,621.0626477408528,487.28718761355685,21.539769073846422,18.552543325663205,S,S,S
CPU2006,458.sjeng,L0,9211,7339,1872,20.323526218651615,4447545401971905322,3453048689211867651,994496712760037671,22.360574718790016,1.993168,5.85302,5.678706,193.65412248239988,184.9085475985968,4.516079891146082,2.978189037454167,S,S,S
CPU2006,462.libquantum,L0,1664,937,727,43.68990384615385,913686646503002243,439598188771368123,474088457731634120,51.88742328085194,0.023282,0.092391,0.08389,296.8344643930934,260.321278240701,12.300858064796182,9.201112662488764,S,S,S
CPU2006,470.lbm,L0,1055,643,412,39.0521327014218,642347891332569126,398945030162949686,243402861169619440,37.892684704650186,1.171387,1.823589,1.525002,55.67775636915895,30.18771763729664,45.781368349069766,16.37359075976001,S,S,S
CPU2006,482.sphinx3,L0,13000,7522,5478,42.138461538461534,10379942263528593451,5745423518804504338,4634518744724089113,44.648791169177606,0.703752,1.608929,1.52505,128.62158828678284,116.70275892643997,9.26658543025287,5.21334378334905,S,S,S
