Level,Benchmark,SanRazor Reported Removed Checks,Removed Checks,Removed READ Checks,Removed WRITE Checks,Removed UNKNOWN Checks,READ / Removed,WRITE / Removed,UNKNOWN / Removed,Detected / Reported
L0,401.bzip2,4617,4324,1075,270,2979,24.86%,6.24%,68.89%,93.65%
L0,429.mcf,548,492,115,31,346,23.37%,6.30%,70.33%,89.78%
L0,433.milc,5089,4607,626,136,3845,13.59%,2.95%,83.46%,90.53%
L0,444.namd,5439,3930,427,343,3160,10.87%,8.73%,80.41%,72.26%
L0,445.gobmk,13496,0,0,0,0,--,--,--,0.00%
L0,453.povray,32397,26234,7533,2109,16592,28.71%,8.04%,63.25%,80.98%
L0,456.hmmer,17046,15596,5783,864,8949,37.08%,5.54%,57.38%,91.49%
L0,458.sjeng,1872,1886,422,94,1370,22.38%,4.98%,72.64%,100.75%
L0,462.libquantum,727,675,205,10,460,30.37%,1.48%,68.15%,92.85%
L0,470.lbm,412,482,229,3,250,47.51%,0.62%,51.87%,116.99%
L0,482.sphinx3,5478,4948,1602,156,3190,32.38%,3.15%,64.47%,90.32%
L0,TOTAL,87121,63174,18017,4016,41141,28.52%,6.36%,65.12%,72.51%
L1,401.bzip2,6214,5797,1578,434,3785,27.22%,7.49%,65.29%,93.29%
L1,429.mcf,812,757,218,139,400,28.80%,18.36%,52.84%,93.23%
L1,433.milc,5739,5246,956,259,4031,18.22%,4.94%,76.84%,91.41%
L1,444.namd,9652,6806,1512,1233,4061,22.22%,18.12%,59.67%,70.51%
L1,445.gobmk,21614,0,0,0,0,--,--,--,0.00%
L1,453.povray,39831,32500,10328,4006,18166,31.78%,12.33%,55.90%,81.59%
L1,456.hmmer,21128,18667,7184,1349,10134,38.49%,7.23%,54.29%,88.35%
L1,458.sjeng,3035,2950,697,191,2062,23.63%,6.47%,69.90%,97.20%
L1,462.libquantum,821,738,212,19,507,28.73%,2.57%,68.70%,89.89%
L1,470.lbm,952,890,368,62,460,41.35%,6.97%,51.69%,93.49%
L1,482.sphinx3,6919,6371,2504,336,3531,39.30%,5.27%,55.42%,92.08%
L1,TOTAL,116717,80722,25557,8028,47137,31.66%,9.95%,58.39%,69.16%
L2,401.bzip2,7172,6700,1777,513,4410,26.52%,7.66%,65.82%,93.42%
L2,429.mcf,1130,1044,270,166,608,25.86%,15.90%,58.24%,92.39%
L2,433.milc,7311,6615,1101,313,5201,16.64%,4.73%,78.62%,90.48%
L2,444.namd,15734,11884,2369,1448,8067,19.93%,12.18%,67.88%,75.53%
L2,445.gobmk,40133,0,0,0,0,--,--,--,0.00%
L2,453.povray,53979,45497,12423,5259,27815,27.31%,11.56%,61.14%,84.29%
L2,456.hmmer,24959,22302,7987,1544,12771,35.81%,6.92%,57.26%,89.35%
L2,458.sjeng,6026,5563,843,225,4495,15.15%,4.04%,80.80%,92.32%
L2,462.libquantum,1169,984,264,28,692,26.83%,2.85%,70.33%,84.17%
L2,470.lbm,1002,928,381,64,483,41.06%,6.90%,52.05%,92.61%
L2,482.sphinx3,10093,9238,3202,478,5558,34.66%,5.17%,60.16%,91.53%
L2,TOTAL,168708,110755,30617,10038,70100,27.64%,9.06%,63.29%,65.65%
